n,tp,tn,fp,fn,accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,weighted_f1,predicted_up_rate,model_name,threshold
7104,2223,1496,2292,1093,0.5235078828828829,0.49235880398671095,0.6703860072376358,0.5677435831949942,0.5778292777134029,0.39493136219640973,0.4691861376822958,0.51519071106632,0.6355574324324325,gradient_boosted_trees,0.45
7104,2110,1638,2150,1206,0.5275900900900901,0.4953051643192488,0.6363088057901085,0.5570221752903908,0.5759493670886076,0.4324181626187962,0.4939686369119421,0.5234007221122428,0.5996621621621622,gradient_boosted_trees,0.46
7104,1967,1778,2010,1349,0.5271677927927928,0.49459391501131506,0.5931845597104946,0.5394213629507747,0.5685960984969619,0.469376979936642,0.5142443962400578,0.5259964826157246,0.5598254504504504,gradient_boosted_trees,0.47
7104,1785,1951,1837,1531,0.5259009009009009,0.4928216454997239,0.5382991556091676,0.5145575093686942,0.5603101665709362,0.5150475184794087,0.5367262723521321,0.5263783531442098,0.5098536036036037,gradient_boosted_trees,0.48
7104,1575,2193,1595,1741,0.5304054054054054,0.4968454258675079,0.4749698431845597,0.4856614246068455,0.5574478901881037,0.5789334741288279,0.567987567987568,0.5295594301144718,0.4462274774774775,gradient_boosted_trees,0.49
7104,1327,2465,1323,1989,0.5337837837837838,0.500754716981132,0.4001809408926417,0.44485417365068725,0.5534351145038168,0.6507391763463569,0.5981557874302353,0.5265977706378675,0.37302927927927926,gradient_boosted_trees,0.5
7104,1056,2742,1046,2260,0.5346283783783784,0.5023786869647955,0.31845597104945716,0.3898117386489479,0.5481807277089165,0.7238648363252376,0.6238907849829352,0.5146275364407755,0.29588963963963966,gradient_boosted_trees,0.51
7104,796,3013,775,2520,0.5361768018018018,0.5066836409929981,0.24004825090470447,0.3257622263147125,0.5445508765588288,0.7954065469904963,0.6464971569574081,0.49678473719232097,0.22114301801801803,gradient_boosted_trees,0.52
7104,588,3245,543,2728,0.5395551801801802,0.519893899204244,0.1773220747889023,0.264447942433101,0.5432780847145487,0.8566525871172123,0.6648908923266058,0.4779724207828471,0.15920608108108109,gradient_boosted_trees,0.53
7104,431,3401,387,2885,0.5394144144144144,0.5268948655256723,0.12997587454764778,0.208514755684567,0.541043588927776,0.8978352692713834,0.6752034941433392,0.45736286115779745,0.1151463963963964,gradient_boosted_trees,0.54
7104,323,3506,282,2993,0.5389921171171171,0.5338842975206611,0.0974065138721351,0.16475388931395052,0.5394676104016003,0.9255543822597677,0.6816370175950229,0.44036668350436475,0.08516328828828829,gradient_boosted_trees,0.55
7104,224,3587,201,3092,0.5364583333333334,0.5270588235294118,0.06755126658624849,0.119754076450147,0.537056445575685,0.9469376979936642,0.6853921849622623,0.42136403633808234,0.05982545045045045,gradient_boosted_trees,0.56
7104,164,3643,145,3152,0.5358952702702703,0.5307443365695793,0.04945717732207479,0.09048275862068966,0.5361295069904342,0.9617212249208026,0.6884626287442126,0.4093380159444375,0.04349662162162162,gradient_boosted_trees,0.57
7104,116,3701,87,3200,0.5373029279279279,0.5714285714285714,0.03498190591073583,0.06592782040352374,0.5362990870888277,0.9770327349524816,0.6924876040789597,0.40002247982955863,0.02857545045045045,gradient_boosted_trees,0.58
7104,74,3720,68,3242,0.5340653153153153,0.5211267605633803,0.022316043425814235,0.04279930595720069,0.5343292157426027,0.9820485744456178,0.692093023255814,0.38901616985460324,0.01998873873873874,gradient_boosted_trees,0.59
7104,64,3745,43,3252,0.5361768018018018,0.5981308411214953,0.019300361881785282,0.037394098743791994,0.5352293840217236,0.9886483632523759,0.6944830783495595,0.3877675580268223,0.015061936936936937,gradient_boosted_trees,0.6
7104,49,3758,30,3267,0.5358952702702703,0.620253164556962,0.014776839565741858,0.0288659793814433,0.5349466192170819,0.9920802534318902,0.6950892444280035,0.3841100289304819,0.011120495495495495,gradient_boosted_trees,0.61
7104,37,3771,17,3279,0.536036036036036,0.6851851851851852,0.011158021712907118,0.021958456973293766,0.5348936170212766,0.9955121436114044,0.6958848496032478,0.38130997376415326,0.007601351351351352,gradient_boosted_trees,0.62
